KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,25/193,4.2740187640896327e-16,1.2252187123723616e-14,0,0,10.121121619379458,358.17441901186527,RB1;HIF1A;UBB;CASP3;UBC;AKT1;RPS27A;CREBBP;STAT1;STAT2;HLA-B;HLA-C;EIF2AK2;HLA-A;HLA-F;MAPK14;HLA-G;NFKB1;HLA-E;MAPK11;IRF3;IRF7;TP53;UBA52;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Hepatitis B,20/162,1.0095399225190871e-12,2.6046130000992447e-11,0,0,9.427937487941346,260.41402432551774,RB1;CREBBP;TGFB1;PRKCB;TGFB3;YWHAB;DDX58;STAT1;STAT2;PRKCA;MAPK14;HSPG2;NFKB1;IFIH1;MAPK11;IRF3;CASP3;IRF7;AKT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Coronavirus disease,23/232,2.090423795348603e-12,4.9029939927267225e-11,0,0,7.417377195741793,199.4803780972809,PRKCB;STAT1;DDX58;STAT2;MX2;MX1;EIF2AK2;PRKCA;ISG15;ADAR;MAPK14;EGFR;NFKB1;IFIH1;MAPK11;IRF3;OAS1;OAS2;OAS3;CASP1;RPS27A;UBA52;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Tyrosine metabolism,11/36,4.741426068419788e-12,1.0194066047102543e-10,0,0,28.74325581395349,749.4712885412927,IL4I1;DDC;GOT1L1;TPO;GOT1;TH;TAT;TYRP1;GOT2;AOX1;TYR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Measles,18/139,6.20755541999997e-12,1.2319609987384554e-10,0,0,9.900657783774667,255.48898837896775,DDX58;STAT1;MX2;STAT2;MX1;EIF2AK2;ADAR;NFKB1;IFIH1;IRF3;OAS1;OAS2;CASP3;OAS3;IRF7;AKT1;TP53;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KEGG_2021_Human,""Phenylalanine, tyrosine and tryptophan biosynthesis"",6/6,1.3738536888367171e-11,2.531816083713378e-10,0,0,118128.0,2954477.710292328,IL4I1";GOT1L1;GOT1;PAH;TAT;GOT2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Human papillomavirus infection,26/331,1.5429177941374423e-11,2.653818605916401e-10,0,0,5.777347242921014,143.82567725287808,RB1;ITGB1;RBPJ;EGFR;OASL;CASP3;AKT1;CREBBP;STAT1;MX2;STAT2;MX1;HLA-B;HLA-C;EIF2AK2;ISG15;HLA-A;HLA-F;HLA-G;NFKB1;HLA-E;IRF3;RPS6KB1;IRF1;TP53;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Cysteine and methionine metabolism,11/50,2.427640225586978e-10,3.914569863759002e-09,0,0,18.412045319022063,407.6230053975273,IL4I1;GOT1L1;BHMT;SDS;GOT1;AGXT2;ADI1;TAT;GOT2;MTR;BCAT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Tryptophan metabolism,10/42,6.992219740959188e-10,1.0611721724514531e-08,0,0,20.33940397350993,428.77605039998434,IL4I1;HADHA;DDC;ECHS1;TDO2;EHHADH;AOX1;HADH;ALDH7A1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Human immunodeficiency virus 1 infection,19/212,1.0175718971887303e-09,1.4585197193038469e-08,0,0,6.550160038196962,135.6266085664935,PRKCB;HLA-B;CUL1;HLA-C;PRKCA;HLA-A;HLA-F;SAMHD1;MAPK14;HLA-G;NFKB1;HLA-E;BST2;MAPK11;IRF3;RPS6KB1;CASP3;AKT1;SKP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Viral carcinogenesis,18/203,3.3541835403075004e-09,4.5546281757859764e-08,0,0,6.4543849972421405,125.94478527000894,RB1;CREBBP;YWHAB;HDAC11;HLA-B;HLA-C;EIF2AK2;HLA-A;RBPJ;HLA-F;HLA-G;NFKB1;HLA-E;IRF3;CASP3;IRF7;TP53;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Phenylalanine metabolism,7/17,3.5757826221559072e-09,4.61275958258112e-08,0,0,45.16262295081968,878.3715466942583,IL4I1;DDC;GOT1L1;GOT1;TAT;PAH;GOT2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Glycerophospholipid metabolism,13/98,4.137332761361186e-09,5.083008821100887e-08,0,0,10.027109974424553,193.55545482462463,MBOAT1;PLD4;PLA2G4A;MBOAT2;PLD1;PLD3;PISD;PLD2;PTDSS2;LPCAT4;LPCAT3;PEMT;CEPT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,13/100,5.323810981513062e-09,6.243378332865317e-08,0,0,9.79560219890055,186.6167662684629,EGR1;TGFB1;PRKCB;TGFB3;STAT1;PRKCA;MAPK14;AGER;NFKB1;MAPK11;COL3A1;CASP3;AKT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Fatty acid biosynthesis,7/18,5.773360351406142e-09,6.476204220272978e-08,0,0,41.0548435171386,778.810855403304,MECR;ACSL1;ACSL6;ACSL4;ACSBG1;ACSL3;ACSBG2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KEGG_2021_Human,""Glycine, serine and threonine metabolism"",9/40,8.719142864082193e-09,9.373078578888356e-08,0,0,18.83455764931332,349.52691614636734,BHMT";SDS;SHMT2;AGXT2;SHMT1;CHDH;AMT;ALDH7A1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Adipocytokine signaling pathway,11/69,9.109209036994016e-09,9.400703726177825e-08,0,0,12.368541642799862,228.99093202319924,CPT1A;RXRA;ACSL1;ACSL6;AKT1;ACSL4;ACSBG1;ACSL3;PCK1;ACSBG2;NFKB1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Glyoxylate and dicarboxylate metabolism,8/30,1.3924222209533322e-08,1.3305367889109617e-07,0,0,23.52392344497608,425.5392102562652,ACSS2;PCCA;SHMT2;SHMT1;PCCB;AMT;ACSS1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,beta-Alanine metabolism,8/30,1.3924222209533322e-08,1.3305367889109617e-07,0,0,23.52392344497608,425.5392102562652,HADHA;ECHS1;ACOX1;EHHADH;ACOX3;ACADS;ALDH7A1;CNDP2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Human cytomegalovirus infection,18/225,1.6969067459859328e-08,1.5635783588013236e-07,0,0,5.761904761904762,103.09127233761676,RB1;PRKCB;HLA-B;HLA-C;PRKCA;HLA-A;HLA-F;MAPK14;HLA-G;EGFR;NFKB1;HLA-E;MAPK11;IRF3;RPS6KB1;CASP3;AKT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Cellular senescence,15/156,2.34851018189918e-08,2.089364230793064e-07,0,0,7.001576044129235,122.9959832828603,RB1;TGFB1;TGFB3;HLA-B;HLA-C;HLA-A;HLA-F;MAPK14;HLA-G;SIRT1;NFKB1;HLA-E;MAPK11;AKT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Proteoglycans in cancer,17/205,2.5093878928503667e-08,2.134982519444219e-07,0,0,5.977280923187883,104.60625290032326,ITGB1;TGFB1;SDC4;PRKCB;PRKCA;MAPK14;HSPG2;HIF1A;ACTB;EGFR;MAPK11;RPS6KB1;CASP3;AKT1;FLNC;TP53;CD44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Pancreatic cancer,11/76,2.5962295340562745e-08,2.134982519444219e-07,0,0,11.032609251213902,192.70239925402,RB1;TGFB1;RPS6KB1;STAT1;TGFB3;AKT1;PLD1;TP53;EGFR;NFKB1;PLD2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,NOD-like receptor signaling pathway,16/181,2.6480403341943802e-08,2.134982519444219e-07,0,0,6.395741195741196,111.58560682850822,RNASEL;STAT1;STAT2;MAPK14;NFKB1;MAPK11;IRF3;OAS1;OAS2;OAS3;NAMPT;CASP1;IRF7;GBP2;GBP1;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Pyruvate metabolism,9/47,3.9481689016909794e-08,3.08675023223113e-07,0,0,15.359562272016676,261.8410448720625,PDHA2;ACSS2;PDHA1;PDHB;DLAT;ACSS1;PCK1;ALDH7A1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Thyroid hormone signaling pathway,13/121,5.482311184381899e-08,4.160106722266265e-07,0,0,7.882447665056361,131.7878562744544,NCOA1;MED1;NCOA2;CREBBP;PRKCB;STAT1;PRKCA;ATP1B2;HIF1A;ACTB;RXRA;AKT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Shigellosis,18/246,6.69418879626199e-08,4.934573455530266e-07,0,0,5.225563909774436,86.32339437399463,ITGB1;CUL1;MAPK14;ACTB;EGFR;NFKB1;MAPK11;UBB;IRF3;RPS6KB1;UBC;CASP1;AKT1;RPS27A;TP53;UBA52;CD44;SKP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Glycolysis / Gluconeogenesis,10/67,8.350374237824044e-08,5.984434870440565e-07,0,0,11.404089694434765,185.86812338502557,GPI;PDHA2;ACSS2;PDHA1;DLAT;PDHB;ACSS1;PCK1;ALDH7A1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,HIF-1 signaling pathway,12/109,1.3658049253776066e-07,9.523720831011416e-07,0,0,8.078762886597938,127.69576754462727,CREBBP;PDHA2;PDHA1;RPS6KB1;PRKCB;AKT1;PRKCA;PDHB;HIF1A;NFKB1;EGFR;PDK1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Ferroptosis,8/41,1.9582127186419134e-07,1.3295233721305623e-06,0,0,15.67384370015949,242.09918464245865,ACSL1;LPCAT3;ACSL6;SAT2;ACSL4;ACSL3;SAT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Peroxisome,10/82,5.860161324840078e-07,3.876722107201897e-06,0,0,9.021339220014717,129.45548272965632,ACOT8;ACSL1;ACOX1;EHHADH;ECH1;ACSL6;ACSL4;ACSL3;ACOX3;ACAA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Diabetic cardiomyopathy,15/203,7.454747213491008e-07,4.8083119527017e-06,0,0,5.238555770470664,73.91206477725893,PDHA2;PDHA1;TGFB1;PRKCB;TGFB3;PRKCA;PDHB;MAPK14;AGER;NFKB1;MAPK11;COL3A1;CPT2;AKT1;PDK2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Arginine and proline metabolism,8/50,9.740847720236192e-07,6.129606614197409e-06,0,0,12.30952380952381,170.38556663372344,GOT1L1;GOT1;GOT2;SAT2;ALDH18A1;SAT1;ALDH7A1;CNDP2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Herpes simplex virus 1 infection,24/498,1.1472304607625776e-06,7.047272830398691e-06,0,0,3.3779887482419126,46.20466995234936,RNASEL;STAT1;DDX58;STAT2;HLA-B;HLA-C;EIF2AK2;HLA-A;HLA-F;HLA-G;PML;NFKB1;HLA-E;BST2;IFIH1;OAS1;IRF3;OAS2;OAS3;CASP3;IRF7;AKT1;TP53;IRF9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Central carbon metabolism in cancer,9/70,1.3761569086171715e-06,8.25694145170303e-06,0,0,9.557052426554131,128.984041889288,PDHA2;PDHA1;AKT1;PDHB;TP53;HIF1A;EGFR;PDK1;SIRT3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,15/219,1.935224119173682e-06,1.1347450516972954e-05,0,0,4.823727470786294,63.45752128657944,RB1;EGR1;CREBBP;TGFB1;TGFB3;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;NFKB1;HLA-E;CANX;AKT1;TP53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Pertussis,9/76,2.7777751262971524e-06,1.5925910724103672e-05,0,0,8.698537017880893,111.28786711640024,ITGB1;MAPK11;IRF3;CASP3;IRF1;CASP1;IRF8;MAPK14;NFKB1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Fatty acid elongation,6/27,3.084595399380692e-06,1.7300556805222142e-05,0,0,18.363211951447244,233.01245024531727,HADHB;HADHA;ACAA2;ECHS1;MECR;HADH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Pathways in cancer,24/531,3.48645522673531e-06,1.9138413797823615e-05,0,0,3.152695595003287,39.61874338327097,RB1;NCOA1;ITGB1;CREBBP;TGFB1;PRKCB;STAT1;TGFB3;STAT2;CUL1;PRKCA;PLD1;HIF1A;PML;EGFR;NFKB1;PLD2;RXRA;RPS6KB1;CDH1;CASP3;AKT1;TP53;SKP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Viral myocarditis,8/60,4.055168760269436e-06,2.1796532086448214e-05,0,0,9.937246963562751,123.37607106506049,CASP3;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;ACTB;HLA-E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Citrate cycle (TCA cycle),6/30,5.9484568505948e-06,3.1320446274560375e-05,0,0,16.065359477124183,193.30448958019,PDHA2;PDHA1;PDHB;DLAT;PCK1;DLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Ether lipid metabolism,7/49,1.0295294600313247e-05,5.312372013761637e-05,0,0,10.73551912568306,123.28480791556996,LPCAT4;PLA2G4A;PLD4;CEPT1;PLD1;PLD3;PLD2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,RIG-I-like receptor signaling pathway,8/70,1.3072541203948808e-05,6.613167903174103e-05,0,0,8.330220713073006,93.6733037534698,IFIH1;MAPK11;IRF3;DDX58;IRF7;ISG15;MAPK14;NFKB1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,GnRH signaling pathway,9/93,1.4876654038129524e-05,7.38110911891811e-05,0,0,6.932107496463932,77.05534803408514,EGR1;MAPK11;PRKCB;PLA2G4A;PRKCA;PLD1;MAPK14;EGFR;PLD2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Autoimmune thyroid disease,7/53,1.751502809346746e-05,8.368291200212232e-05,0,0,9.8,107.33402271402942,TPO;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,7/53,1.751502809346746e-05,8.368291200212232e-05,0,0,9.8,107.33402271402942,CALB1;PRKCB;TRPV5;PRKCA;ATP1B2;ATP2B1;SLC8A1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
