An enrichment analysis was performed for the main three branches of the Gene Ontology (Biological Processes, Molecular Functions, and Cellular Components) of the genes belonging to the main upregulated core 1, using a Benjamini-Hochberg threshold=0.05 (correcting for multiple comparisons).;;;
Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes;;;
GO_Biological_Process_2021,carnitine metabolic process (GO:0009437),1/12,0.0029966530298936,0.0054721490111101,0,0,454.1818181818182,2638.914119276588,ACADL;;;
GO_Biological_Process_2021,long-chain fatty-acyl-CoA biosynthetic process (GO:0035338),1/18,0.0044922927083929,0.0078615122396876,0,0,293.79411764705884,1588.072397289777,ACSL6;;;
GO_Biological_Process_2021,long-chain fatty-acyl-CoA metabolic process (GO:0035336),1/24,0.005986138987596,0.0100567134991613,0,0,217.08695652173915,1111.118047594182,ACSL6;;;
GO_Biological_Process_2021,energy derivation by oxidation of organic compounds (GO:0015980),1/25,0.0062349390704731,0.0100718246523027,0,0,208.03125,1056.2966607689368,ACADVL;;;
GO_Biological_Process_2021,cellular lipid catabolic process (GO:0044242),1/27,0.0067323898885916,0.0104684245206294,0,0,192.0096153846154,960.2065018708712,ACADL;;;
GO_Biological_Process_2021,lipid catabolic process (GO:0016042),1/29,0.0072296416117061,0.0104684245206294,0,0,178.27678571428572,878.8271482248972,ACADL;;;
GO_Biological_Process_2021,fatty-acyl-CoA biosynthetic process (GO:0046949),1/30,0.0074781928285412,0.0104684245206294,0,0,172.1206896551724,842.6622961465415,ACSL6;;;
GO_Biological_Process_2021,purine nucleoside bisphosphate metabolic process (GO:0034032),1/31,0.0077266942890359,0.0104684245206294,0,0,166.375,809.0939625056958,ACSL6;;;
GO_Biological_Process_2021,ribonucleoside bisphosphate metabolic process (GO:0033875),1/31,0.0077266942890359,0.0104684245206294,0,0,166.375,809.0939625056958,ACSL6;;;
GO_Biological_Process_2021,very long-chain fatty acid metabolic process (GO:0000038),1/33,0.0082235479691264,0.0107934067094785,0,0,155.9609375,748.7300222782447,ACSL6;;;
GO_Biological_Process_2021,acyl-CoA metabolic process (GO:0006637),1/37,0.0092166585448215,0.0117302926934092,0,0,138.60416666666666,649.6020692107373,ACSL6;;;
GO_Biological_Process_2021,IRE1-mediated unfolded protein response (GO:0036498),1/53,0.0131811515812902,0.016282599012182,0,0,95.8798076923077,415.0605599326822,ACADVL;;;
GO_Biological_Process_2021,purine ribonucleotide metabolic process (GO:0009150),1/77,0.0191040927721202,0.0229249113265442,0,0,65.52302631578948,259.33048567400635,ACSL6;;;
GO_Biological_Process_2021,lipid biosynthetic process (GO:0008610),1/80,0.0198424566057451,0.0231495327067027,0,0,63.0253164556962,247.054914696706,ACSL6;;;
GO_Biological_Process_2021,positive regulation of cold-induced thermogenesis (GO:0120162),1/97,0.0240181254075563,0.027263818030199,0,0,51.8203125,193.23517335892032,ACADL;;;
GO_Biological_Process_2021,epithelial cell differentiation (GO:0030855),1/101,0.024998564628756,0.0276299924844146,0,0,49.7375,183.4784976020638,ACADVL;;;
GO_Biological_Process_2021,positive regulation of metabolic process (GO:0009893),1/113,0.0279351561436839,0.0300840143085827,0,0,44.38169642857143,158.79190942444083,ACADL;;;
GO_Biological_Process_2021,epithelium development (GO:0060429),1/122,0.0301329532619135,0.0313676614555323,0,0,41.06198347107438,143.80464698625332,ACADVL;;;
GO_Biological_Process_2021,fatty acid metabolic process (GO:0006631),1/124,0.0306208123732577,0.0313676614555323,0,0,40.39024390243903,140.8034339839893,ACSL6;;;
GO_Cellular_Component_2021,mitochondrial matrix (GO:0005759),4/348,4.44345885445352e-07,4.44345885445352e-06,0,0,228.5,3342.1923941649216,ACADVL;ACADL;PCCA;PCCB
GO_Cellular_Component_2021,intracellular organelle lumen (GO:0070013),4/848,1.5507541850503687e-05,7.753770925251844e-05,0,0,90.76303317535545,1005.126537167934,ACADVL;ACADL;PCCA;PCCB
GO_Cellular_Component_2021,extrinsic component of mitochondrial inner membrane (GO:0031314),1/8,0.0019985634316589,0.0066618781055299,0,0,713.8571428571429,4436.855317641398,ACADVL;;;
GO_Molecular_Function_2021,CoA carboxylase activity (GO:0016421),2/6,7.496663581039455e-07,4.497998148623673e-06,0,0,3331.833333333333,46990.96982780607,PCCA;PCCB;;
GO_Molecular_Function_2021,acyl-CoA dehydrogenase activity (GO:0003995),2/9,1.7986799164027146e-06,5.396039749208144e-06,0,0,1903.619047619048,25181.943747367222,ACADVL;ACADL;;
GO_Molecular_Function_2021,flavin adenine dinucleotide binding (GO:0050660),2/55,7.385769263711544e-05,0.00014771538527423087,0,0,250.8427672955975,2386.360154611872,ACADVL;ACADL;;
GO_Molecular_Function_2021,arachidonate-CoA ligase activity (GO:0047676),1/6,0.0014992198216206,0.0020986998179191,0,0,999.5,6499.559019889724,ACSL6;;;
GO_Molecular_Function_2021,acyl-CoA oxidase activity (GO:0003997),1/7,0.0017489165149326,0.0020986998179191,0,0,832.875,5287.722499803602,ACADL;;;
