userId	geneSymbol	geneName	entrezgene	gLink
NOTCH2	NOTCH2	notch receptor 2	4853	https://www.ncbi.nlm.nih.gov/gene/?term=4853
FASN	FASN	fatty acid synthase	2194	https://www.ncbi.nlm.nih.gov/gene/?term=2194
PRKAR1A	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	5573	https://www.ncbi.nlm.nih.gov/gene/?term=5573
CEBPA	CEBPA	CCAAT enhancer binding protein alpha	1050	https://www.ncbi.nlm.nih.gov/gene/?term=1050
TCF25	TCF25	transcription factor 25	22980	https://www.ncbi.nlm.nih.gov/gene/?term=22980
CAND2	CAND2	cullin associated and neddylation dissociated 2 (putative)	23066	https://www.ncbi.nlm.nih.gov/gene/?term=23066
SLC35E1	SLC35E1	solute carrier family 35 member E1	79939	https://www.ncbi.nlm.nih.gov/gene/?term=79939
PPP1R3B	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	79660	https://www.ncbi.nlm.nih.gov/gene/?term=79660
NEDD4L	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	23327	https://www.ncbi.nlm.nih.gov/gene/?term=23327
RFC5	RFC5	replication factor C subunit 5	5985	https://www.ncbi.nlm.nih.gov/gene/?term=5985
PIGT	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	51604	https://www.ncbi.nlm.nih.gov/gene/?term=51604
DOHH	DOHH	deoxyhypusine hydroxylase	83475	https://www.ncbi.nlm.nih.gov/gene/?term=83475
YIF1B	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein	90522	https://www.ncbi.nlm.nih.gov/gene/?term=90522
FAAH	FAAH	fatty acid amide hydrolase	2166	https://www.ncbi.nlm.nih.gov/gene/?term=2166
TYK2	TYK2	tyrosine kinase 2	7297	https://www.ncbi.nlm.nih.gov/gene/?term=7297
BHLHA15	BHLHA15	basic helix-loop-helix family member a15	168620	https://www.ncbi.nlm.nih.gov/gene/?term=168620
PIGO	PIGO	phosphatidylinositol glycan anchor biosynthesis class O	84720	https://www.ncbi.nlm.nih.gov/gene/?term=84720
PARP1	PARP1	poly(ADP-ribose) polymerase 1	142	https://www.ncbi.nlm.nih.gov/gene/?term=142
KNTC1	KNTC1	kinetochore associated 1	9735	https://www.ncbi.nlm.nih.gov/gene/?term=9735
VASN	VASN	vasorin	114990	https://www.ncbi.nlm.nih.gov/gene/?term=114990
STXBP6	STXBP6	syntaxin binding protein 6	29091	https://www.ncbi.nlm.nih.gov/gene/?term=29091
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061	https://www.ncbi.nlm.nih.gov/gene/?term=10061
RFC4	RFC4	replication factor C subunit 4	5984	https://www.ncbi.nlm.nih.gov/gene/?term=5984
DYNLT1	DYNLT1	dynein light chain Tctex-type 1	6993	https://www.ncbi.nlm.nih.gov/gene/?term=6993
USP8	USP8	ubiquitin specific peptidase 8	9101	https://www.ncbi.nlm.nih.gov/gene/?term=9101
LARP4	LARP4	La ribonucleoprotein domain family member 4	113251	https://www.ncbi.nlm.nih.gov/gene/?term=113251
PYROXD1	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1	79912	https://www.ncbi.nlm.nih.gov/gene/?term=79912
ELOVL1	ELOVL1	ELOVL fatty acid elongase 1	64834	https://www.ncbi.nlm.nih.gov/gene/?term=64834
MET	MET	MET proto-oncogene, receptor tyrosine kinase	4233	https://www.ncbi.nlm.nih.gov/gene/?term=4233
SMC2	SMC2	structural maintenance of chromosomes 2	10592	https://www.ncbi.nlm.nih.gov/gene/?term=10592
DGAT1	DGAT1	diacylglycerol O-acyltransferase 1	8694	https://www.ncbi.nlm.nih.gov/gene/?term=8694
GPR180	GPR180	G protein-coupled receptor 180	160897	https://www.ncbi.nlm.nih.gov/gene/?term=160897
EBP	EBP	EBP, cholestenol delta-isomerase	10682	https://www.ncbi.nlm.nih.gov/gene/?term=10682
ITPRID2	ITPRID2	ITPR interacting domain containing 2	6744	https://www.ncbi.nlm.nih.gov/gene/?term=6744
SIGMAR1	SIGMAR1	sigma non-opioid intracellular receptor 1	10280	https://www.ncbi.nlm.nih.gov/gene/?term=10280
FKBP4	FKBP4	FKBP prolyl isomerase 4	2288	https://www.ncbi.nlm.nih.gov/gene/?term=2288
NCAPH	NCAPH	non-SMC condensin I complex subunit H	23397	https://www.ncbi.nlm.nih.gov/gene/?term=23397
SPC25	SPC25	SPC25, NDC80 kinetochore complex component	57405	https://www.ncbi.nlm.nih.gov/gene/?term=57405
RRM2	RRM2	ribonucleotide reductase regulatory subunit M2	6241	https://www.ncbi.nlm.nih.gov/gene/?term=6241
GEMIN7	GEMIN7	gem nuclear organelle associated protein 7	79760	https://www.ncbi.nlm.nih.gov/gene/?term=79760
SMPD2	SMPD2	sphingomyelin phosphodiesterase 2	6610	https://www.ncbi.nlm.nih.gov/gene/?term=6610
ATG13	ATG13	autophagy related 13	9776	https://www.ncbi.nlm.nih.gov/gene/?term=9776
TARBP1	TARBP1	TAR (HIV-1) RNA binding protein 1	6894	https://www.ncbi.nlm.nih.gov/gene/?term=6894
OCIAD2	OCIAD2	OCIA domain containing 2	132299	https://www.ncbi.nlm.nih.gov/gene/?term=132299
SUMF2	SUMF2	sulfatase modifying factor 2	25870	https://www.ncbi.nlm.nih.gov/gene/?term=25870
CDK1	CDK1	cyclin dependent kinase 1	983	https://www.ncbi.nlm.nih.gov/gene/?term=983
RTF2	RTF2	replication termination factor 2	51507	https://www.ncbi.nlm.nih.gov/gene/?term=51507
NUDT1	NUDT1	nudix hydrolase 1	4521	https://www.ncbi.nlm.nih.gov/gene/?term=4521
PYROXD2	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	84795	https://www.ncbi.nlm.nih.gov/gene/?term=84795
PTPRK	PTPRK	protein tyrosine phosphatase, receptor type K	5796	https://www.ncbi.nlm.nih.gov/gene/?term=5796
TRMT2A	TRMT2A	tRNA methyltransferase 2 homolog A	27037	https://www.ncbi.nlm.nih.gov/gene/?term=27037
DIO1	DIO1	iodothyronine deiodinase 1	1733	https://www.ncbi.nlm.nih.gov/gene/?term=1733
PFKFB1	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	5207	https://www.ncbi.nlm.nih.gov/gene/?term=5207
PDP2	PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	57546	https://www.ncbi.nlm.nih.gov/gene/?term=57546
WDR41	WDR41	WD repeat domain 41	55255	https://www.ncbi.nlm.nih.gov/gene/?term=55255
GNL2	GNL2	G protein nucleolar 2	29889	https://www.ncbi.nlm.nih.gov/gene/?term=29889
KPNA2	KPNA2	karyopherin subunit alpha 2	3838	https://www.ncbi.nlm.nih.gov/gene/?term=3838
SPC24	SPC24	SPC24, NDC80 kinetochore complex component	147841	https://www.ncbi.nlm.nih.gov/gene/?term=147841
UBE2C	UBE2C	ubiquitin conjugating enzyme E2 C	11065	https://www.ncbi.nlm.nih.gov/gene/?term=11065
OGFOD3	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	79701	https://www.ncbi.nlm.nih.gov/gene/?term=79701
MGRN1	MGRN1	mahogunin ring finger 1	23295	https://www.ncbi.nlm.nih.gov/gene/?term=23295
NAV2	NAV2	neuron navigator 2	89797	https://www.ncbi.nlm.nih.gov/gene/?term=89797
LPCAT3	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162	https://www.ncbi.nlm.nih.gov/gene/?term=10162
ANTXR2	ANTXR2	ANTXR cell adhesion molecule 2	118429	https://www.ncbi.nlm.nih.gov/gene/?term=118429
TNFRSF6B	TNFRSF6B	TNF receptor superfamily member 6b	8771	https://www.ncbi.nlm.nih.gov/gene/?term=8771
ZNF706	ZNF706	zinc finger protein 706	51123	https://www.ncbi.nlm.nih.gov/gene/?term=51123
CELSR2	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	1952	https://www.ncbi.nlm.nih.gov/gene/?term=1952
FBXO21	FBXO21	F-box protein 21	23014	https://www.ncbi.nlm.nih.gov/gene/?term=23014
SMC4	SMC4	structural maintenance of chromosomes 4	10051	https://www.ncbi.nlm.nih.gov/gene/?term=10051
SRPK1	SRPK1	SRSF protein kinase 1	6732	https://www.ncbi.nlm.nih.gov/gene/?term=6732
SERHL2	SERHL2	serine hydrolase like 2	253190	https://www.ncbi.nlm.nih.gov/gene/?term=253190
TMEM259	TMEM259	transmembrane protein 259	91304	https://www.ncbi.nlm.nih.gov/gene/?term=91304
PIGU	PIGU	phosphatidylinositol glycan anchor biosynthesis class U	128869	https://www.ncbi.nlm.nih.gov/gene/?term=128869
PBXIP1	PBXIP1	PBX homeobox interacting protein 1	57326	https://www.ncbi.nlm.nih.gov/gene/?term=57326
PPP2R1B	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	5519	https://www.ncbi.nlm.nih.gov/gene/?term=5519
RNF181	RNF181	ring finger protein 181	51255	https://www.ncbi.nlm.nih.gov/gene/?term=51255
LIG1	LIG1	DNA ligase 1	3978	https://www.ncbi.nlm.nih.gov/gene/?term=3978
LIPC	LIPC	lipase C, hepatic type	3990	https://www.ncbi.nlm.nih.gov/gene/?term=3990
FKBP9	FKBP9	FKBP prolyl isomerase 9	11328	https://www.ncbi.nlm.nih.gov/gene/?term=11328
NUDCD3	NUDCD3	NudC domain containing 3	23386	https://www.ncbi.nlm.nih.gov/gene/?term=23386
PCNA	PCNA	proliferating cell nuclear antigen	5111	https://www.ncbi.nlm.nih.gov/gene/?term=5111
TENT4B	TENT4B	terminal nucleotidyltransferase 4B	64282	https://www.ncbi.nlm.nih.gov/gene/?term=64282
AAR2	AAR2	AAR2 splicing factor homolog	25980	https://www.ncbi.nlm.nih.gov/gene/?term=25980
RETREG2	RETREG2	reticulophagy regulator family member 2	79137	https://www.ncbi.nlm.nih.gov/gene/?term=79137
VKORC1L1	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1	154807	https://www.ncbi.nlm.nih.gov/gene/?term=154807
PNPLA7	PNPLA7	patatin like phospholipase domain containing 7	375775	https://www.ncbi.nlm.nih.gov/gene/?term=375775
TXNDC9	TXNDC9	thioredoxin domain containing 9	10190	https://www.ncbi.nlm.nih.gov/gene/?term=10190
CA14	CA14	carbonic anhydrase 14	23632	https://www.ncbi.nlm.nih.gov/gene/?term=23632
STUB1	STUB1	STIP1 homology and U-box containing protein 1	10273	https://www.ncbi.nlm.nih.gov/gene/?term=10273
BRI3BP	BRI3BP	BRI3 binding protein	140707	https://www.ncbi.nlm.nih.gov/gene/?term=140707
MAD2L1	MAD2L1	mitotic arrest deficient 2 like 1	4085	https://www.ncbi.nlm.nih.gov/gene/?term=4085
SLC23A1	SLC23A1	solute carrier family 23 member 1	9963	https://www.ncbi.nlm.nih.gov/gene/?term=9963
RFC2	RFC2	replication factor C subunit 2	5982	https://www.ncbi.nlm.nih.gov/gene/?term=5982
SMN1	SMN1	survival of motor neuron 1, telomeric	6606	https://www.ncbi.nlm.nih.gov/gene/?term=6606
DHCR24	DHCR24	24-dehydrocholesterol reductase	1718	https://www.ncbi.nlm.nih.gov/gene/?term=1718
FSTL1	FSTL1	follistatin like 1	11167	https://www.ncbi.nlm.nih.gov/gene/?term=11167
TTC1	TTC1	tetratricopeptide repeat domain 1	7265	https://www.ncbi.nlm.nih.gov/gene/?term=7265
CLPTM1	CLPTM1	CLPTM1, transmembrane protein	1209	https://www.ncbi.nlm.nih.gov/gene/?term=1209
HIF1AN	HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor	55662	https://www.ncbi.nlm.nih.gov/gene/?term=55662
FKRP	FKRP	fukutin related protein	79147	https://www.ncbi.nlm.nih.gov/gene/?term=79147
P3H2	P3H2	prolyl 3-hydroxylase 2	55214	https://www.ncbi.nlm.nih.gov/gene/?term=55214
ESF1	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	51575	https://www.ncbi.nlm.nih.gov/gene/?term=51575
SH3PXD2A	SH3PXD2A	SH3 and PX domains 2A	9644	https://www.ncbi.nlm.nih.gov/gene/?term=9644
TRMT61A	TRMT61A	tRNA methyltransferase 61A	115708	https://www.ncbi.nlm.nih.gov/gene/?term=115708
UIMC1	UIMC1	ubiquitin interaction motif containing 1	51720	https://www.ncbi.nlm.nih.gov/gene/?term=51720
ATP9A	ATP9A	ATPase phospholipid transporting 9A (putative)	10079	https://www.ncbi.nlm.nih.gov/gene/?term=10079
GLDC	GLDC	glycine decarboxylase	2731	https://www.ncbi.nlm.nih.gov/gene/?term=2731
CROT	CROT	carnitine O-octanoyltransferase	54677	https://www.ncbi.nlm.nih.gov/gene/?term=54677
RNF170	RNF170	ring finger protein 170	81790	https://www.ncbi.nlm.nih.gov/gene/?term=81790
ERG28	ERG28	ergosterol biosynthesis 28 homolog	11161	https://www.ncbi.nlm.nih.gov/gene/?term=11161
SOAT2	SOAT2	sterol O-acyltransferase 2	8435	https://www.ncbi.nlm.nih.gov/gene/?term=8435
MCM7	MCM7	minichromosome maintenance complex component 7	4176	https://www.ncbi.nlm.nih.gov/gene/?term=4176
RREB1	RREB1	ras responsive element binding protein 1	6239	https://www.ncbi.nlm.nih.gov/gene/?term=6239
RNASEH2A	RNASEH2A	ribonuclease H2 subunit A	10535	https://www.ncbi.nlm.nih.gov/gene/?term=10535
SLC1A5	SLC1A5	solute carrier family 1 member 5	6510	https://www.ncbi.nlm.nih.gov/gene/?term=6510
TYMS	TYMS	thymidylate synthetase	7298	https://www.ncbi.nlm.nih.gov/gene/?term=7298
